name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,duelLost,duelWon,dispossessed,totalContest,blockedScoringAttempt,interceptionWon,totalTackle,fouls,aerialWon,challengeLost,shotOffTarget,ownGoals,totalCross,wasFouled,wonContest,outfielderBlock,goalAssist,bigChanceCreated,keyPass,onTargetScoringAttempt,goals,totalOffside,accurateCross,captain
Diego Campos,D. Campos,G,21,Peru,False,17.0,9.0,11.0,3.0,4.0,3.0,4.0,2.0,90.0,30.0,6.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorge Toledo,J. Toledo,D,26,Peru,False,28.0,21.0,7.0,2.0,1.0,0.0,0.0,0.0,90.0,54.0,5.8,12.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian González,C. González,D,2,Argentina,False,36.0,29.0,13.0,6.0,6.0,0.0,0.0,0.0,90.0,50.0,5.7,8.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matias Almiron,M. Almiron,D,22,Uruguay,False,25.0,17.0,7.0,3.0,4.0,0.0,0.0,0.0,81.0,36.0,6.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Caro,D. Caro,D,13,Peru,False,5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,14.0,6.2,5.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick Noriega,E. Noriega,D,4,Peru,False,44.0,33.0,10.0,5.0,0.0,0.0,0.0,0.0,90.0,66.0,6.5,19.0,3.0,7.0,8.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enzo Borletti,E. Borletti,M,5,Peru,False,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,13.0,6.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edgar Lastre,E. Lastre,D,7,Ecuador,False,9.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,75.0,17.0,6.3,9.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Piero Magallanes,P. Magallanes,M,23,Peru,False,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,28.0,6.3,11.0,1.0,5.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Duván Palacios,D. Palacios,M,14,Colombia,False,30.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,90.0,56.0,6.7,21.0,2.0,7.0,3.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Matias Sen,M. Sen,F,9,Argentina,False,12.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,19.0,6.7,4.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
Keyvin Paico,K. Paico,M,6,Peru,True,29.0,27.0,5.0,4.0,0.0,0.0,0.0,0.0,45.0,36.0,6.7,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richar Bazán,R. Bazán,F,30,0.0,True,13.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,19.0,6.4,5.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenji Barrios,K. Barrios,F,27,Peru,True,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,6.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Salinas,R. Salinas,M,8,Peru,True,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,6.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Santamaría,K. Santamaría,M,10,El Salvador,True,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,6.6,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Luis Garcia,L. Garcia,G,28,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Gonzales Zela,S. Gonzales Zela,F,11,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
