name,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,firstName,lastName,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialWon,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialLost,dispossessed,totalCross,challengeLost,shotOffTarget,accurateCross,totalContest,wonContest,totalOffside,bigChanceCreated,onTargetScoringAttempt,goals,goalAssist,bigChanceMissed,penaltyWon,penaltyMiss,captain,team
Franco Saravia,franco-saravia,F. Saravia,G,32,78,973547,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,928281600,,,32,32,G,False,20.0,14.0,11.0,6.0,1.0,1.0,90.0,25.0,7.0,6.0,"{'original': 7, 'alternative': 7.1}",,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Jiovany Ramos,ramos-jiovany,J. Ramos,D,29,58,1006509,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,854236800,,,29,29,D,False,48.0,40.0,7.0,4.0,,,90.0,64.0,7.1,9.0,"{'original': 7.1, 'alternative': 7.2}",1.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,Alianza Lima
Aldair Fuentes,aldair-fuentes,A. Fuentes,M,20,128,876927,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,885686400,,,20,20,D,False,22.0,17.0,2.0,1.0,,,64.0,27.0,6.6,7.0,"{'original': 6.6, 'alternative': 6.5}",3.0,3.0,6.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,Alianza Lima
Juan Freytes,juan-freytes,J. Freytes,D,2,44,962187,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,947548800,,,2,2,D,False,48.0,39.0,10.0,6.0,,,90.0,69.0,6.9,15.0,"{'original': 6.9, 'alternative': 6.8}",1.0,3.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Alianza Lima
Kevin Serna,serna-kevin,K. Serna,M,26,97,981374,"{'alpha2': 'CO', 'name': 'Colombia'}",EUR,882748800,,,26,26,M,False,23.0,14.0,3.0,2.0,,,90.0,48.0,7.0,23.0,"{'original': 7, 'alternative': 6.6}",3.0,6.0,8.0,,,1.0,2.0,,,,5.0,4.0,,1.0,2.0,3.0,2.0,1.0,,,,,,,,,Alianza Lima
Catriel Cabellos,cabellos-catriel,C. Cabellos,M,27,316,1415942,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1092787200,Catriel Cabellos,,27,27,M,False,25.0,20.0,1.0,1.0,,,86.0,39.0,6.8,10.0,"{'original': 6.8, 'alternative': 6.6}",1.0,5.0,4.0,1.0,,,2.0,2.0,1.0,,3.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,Alianza Lima
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,M,10,210,47418,"{'alpha2': 'UY', 'name': 'Uruguay'}",EUR,713923200,,,10,10,M,False,70.0,59.0,9.0,7.0,,,90.0,81.0,8.3,15.0,"{'original': 8.3, 'alternative': 8.2}",,1.0,3.0,2.0,,2.0,,,1.0,,1.0,2.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,Alianza Lima
Jesús Castillo,jesus-castillo,J. Castillo,M,15,81,913398,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,826416000,,,15,15,M,False,26.0,12.0,6.0,,,,63.0,33.0,6.6,16.0,"{'original': 6.6, 'alternative': 6.6}",2.0,3.0,3.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,,Alianza Lima
Ricardo Lagos,ricardo-lagos,R. Lagos,D,13,91,973682,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,829958400,,,13,13,M,False,17.0,7.0,5.0,1.0,,,72.0,27.0,6.6,12.0,"{'original': 6.6, 'alternative': 6.6}",1.0,3.0,2.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Alianza Lima
Cecilio Waterman,cecilio-waterman,C. Waterman,F,30,247,159931,"{'alpha2': 'PA', 'name': 'Panama'}",EUR,671500800,,,30,30,F,False,5.0,3.0,,,,,90.0,8.0,7.4,2.0,"{'original': 7.4, 'alternative': 7.3}",1.0,3.0,2.0,,,,1.0,,,3.0,,,,,,,,,,2.0,1.0,,1.0,1.0,,,Alianza Lima
Hernán Barcos,hernan-barcos,H. Barcos,F,9,446,31175,"{'alpha2': 'AR', 'name': 'Argentina'}",EUR,450489600,,,9,9,F,False,30.0,19.0,3.0,,,,90.0,46.0,5.9,19.0,"{'original': 5.9, 'alternative': 5.9}",1.0,6.0,3.0,1.0,,,2.0,1.0,,,4.0,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,True,Alianza Lima
Jhamir D´Arrigo,jhamir-d-arrigo,J. D´Arrigo,M,11,92,1017760,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,942624000,,,11,11,M,True,11.0,11.0,,,,,27.0,20.0,7.4,4.0,"{'original': 7.4, 'alternative': 7.2}",,1.0,3.0,1.0,,2.0,,,1.0,,1.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,,,,Alianza Lima
Renzo Garces,renzo-garces,R. Garces,D,6,70,874985,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,834537600,,,6,6,D,True,13.0,11.0,1.0,1.0,,,26.0,15.0,6.6,2.0,"{'original': 6.6, 'alternative': 6.6}",2.0,1.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,Alianza Lima
Axel Moyano,axel-moyano,A. Moyano,M,14,39,978545,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,978480000,,,14,14,M,True,9.0,9.0,1.0,1.0,,,18.0,11.0,6.6,1.0,"{'original': 6.6, 'alternative': 6.5}",,3.0,1.0,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,Alianza Lima
Gabriel Costa,gabriel-costa,G. Costa,M,8,575,590312,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,639014400,,,8,8,M,True,9.0,9.0,1.0,1.0,,,11.0,9.0,6.6,,"{'original': 6.6, 'alternative': 6.6}",,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Ángel De la Cruz,angel-de-la-cruz,Á. D. l. Cruz,G,12,13,1109887,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1022198400,Ángel De la Cruz,,12,12,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Sebastian Aranda,sebastian-aranda,S. Aranda,D,21,23,1159659,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1065484800,Sebastian Aranda,,21,21,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Yordi Vílchez,yordi-vilchez,Y. Vílchez,D,31,65,883406,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,792633600,,,31,31,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Nicolas Amasifuen,amasifuen-nicolas,N. Amasifuen,D,4,36,1415939,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,1120521600,Nicolás Amasifuen,,4,4,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
Piero Vivanco,piero-vivanco,P. Vivanco,M,16,32,932088,"{'alpha2': 'PE', 'name': 'Peru'}",EUR,948067200,,,16,16,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Lima
