ID_Player_Sofascore;Nombre;POS;Equipo;Minutos Jugados;Goles;Asistencias;Tiros Al Arco;Tiros Fuera;Tiros Bloqueados;Grandes Ocasiones;Pases Clave;Toques;Pases Precisos;Pases Largos Precisos;Centros Precisos;Intercepciones;Despejes;Duelos Aéreos Ganados;Duelos Ganados;Entradas Totales;Regates;Atajadas;Atajadas en el área;Reclamo Aereo;Salidas con puños
877910;F. Rojas;D;Club Atlético Grau;90;0;0;0;0;0;0;0;50;25;1;0;1;1;0;3;2;0;0;0;0;0
805268;A. Arias;M;Melgar;90;0;0;0;0;0;0;1;57;30;3;0;1;2;2;8;3;0;0;0;0;0
760636;A. Gordillo;D;Alianza Atlético de Sullana;90;0;0;0;1;0;0;0;53;16;0;0;0;6;2;5;3;0;0;0;0;0
887125;J. Bolivar;D;Club Atlético Grau;86;0;0;0;0;0;0;1;53;26;3;4;1;0;2;5;1;1;0;0;0;0
931772;F. Cavagna;D;Club Atlético Grau;83;0;0;0;0;0;0;0;44;21;0;0;0;4;1;1;0;0;0;0;0;0
1017756;F. Flores;M;Deportivo Binacional;82;0;0;1;1;0;0;2;47;28;5;2;0;0;1;7;1;2;0;0;0;0
1464245;G. Aguirre;M;Alianza Lima;81;0;0;1;1;3;0;1;70;42;4;1;2;0;1;5;2;0;0;0;0;0
1650235;M. Castro;M;Club Sporting Cristal;80;0;0;0;1;0;0;0;49;17;0;0;1;1;1;7;1;3;0;0;0;0
1644875;H. Lupú;M;Alianza Atlético de Sullana;80;0;0;0;0;0;0;1;43;12;3;0;0;0;1;6;1;0;0;0;0;0
325609;F. Callejo;F;Cusco FC;77;0;0;1;0;0;0;0;27;11;0;1;1;0;4;4;0;0;0;0;0;0
250339;J. Garro;F;Club Atlético Grau;76;1;0;2;1;0;0;0;39;19;1;0;0;1;2;4;0;1;0;0;0;0
1107889;J. Pérez;M;Alianza Atlético de Sullana;75;0;0;0;1;0;0;0;50;22;0;0;1;0;0;8;6;0;0;0;0;0
1015696;T. Cantoro;F;ADC Juan Pablo II;75;0;0;0;0;0;0;0;22;9;1;1;0;0;2;3;0;0;0;0;0;0
883720;C. Velarde;M;Los Chankas CYC;71;0;0;0;1;0;0;0;30;21;1;0;2;0;0;2;0;0;0;0;0;0
1938922;G. Pereira;F;Alianza Universidad;70;0;0;0;0;0;0;0;27;7;0;0;0;0;2;8;0;1;0;0;0;0
883772;R. Gómez;M;Alianza Universidad;67;0;0;1;0;0;0;1;50;32;2;0;0;0;0;5;1;3;0;0;0;0
828836;L. Sosa;M;Club Sporting Cristal;66;0;0;0;0;0;0;0;24;10;0;1;0;3;0;0;0;0;0;0;0;0
946934;J. Herrera;M;Sport Huancayo;64;0;0;1;1;0;0;0;31;9;2;0;0;3;0;4;1;0;0;0;0;0
590312;G. Costa;M;Universitario;64;0;0;2;0;1;1;2;51;28;1;1;0;0;0;3;0;2;0;0;0;0
988298;Ó. Pinto;M;Asociación Deportiva Tarma;63;0;0;0;2;0;0;1;14;3;0;0;0;0;1;2;0;1;0;0;0;0
2024668;J. Aquino;M;Cusco FC;62;0;0;0;0;0;0;0;31;19;2;0;0;0;1;4;1;1;0;0;0;0
1106545;Y. Ibargüen;D;Universidad Técnica de Cajamarca;62;0;0;0;2;0;0;1;31;5;0;1;0;1;2;8;1;4;0;0;0;0
922870;J. A. Parodi;M;Comerciantes Unidos;62;0;0;0;2;0;0;0;43;28;2;0;0;0;0;4;1;2;0;0;0;0
989460;G. Machado;M;ADC Juan Pablo II;58;0;0;0;0;0;0;0;31;13;1;0;0;1;0;3;1;1;0;0;0;0
542636;J. Vélez;M;Universitario;58;1;0;1;0;0;0;4;52;24;1;1;2;0;1;6;0;2;0;0;0;0
1464244;D. Otoya;F;Sport Boys;57;0;0;0;1;0;0;0;20;7;0;0;0;0;1;5;2;0;0;0;0;0
1170472;S. Fernández;M;Alianza Atlético de Sullana;57;0;0;0;0;0;0;0;21;9;1;0;2;1;1;2;1;0;0;0;0;0
944073;M. Rasmussen;F;Deportivo Binacional;57;0;0;0;0;1;0;0;48;28;2;0;1;1;0;0;0;0;0;0;0;0
925232;J. Barreda;D;Sport Huancayo;57;0;0;0;0;0;0;0;13;2;2;0;0;5;3;6;2;0;0;0;0;0
1109858;G. Larios;F;Alianza Atlético de Sullana;55;2;0;3;0;0;0;1;42;13;1;0;1;2;5;9;2;2;0;0;0;0
989240;D. L. Torre;M;Cienciano;55;0;0;0;0;0;0;0;33;9;2;0;0;0;0;4;2;0;0;0;0;0
932888;A. Altuna;M;Sport Boys;54;0;0;0;0;0;0;2;32;21;3;1;1;0;1;1;0;0;0;0;0;0
1159651;J. D. Castillo;M;Alianza Atlético de Sullana;53;0;0;0;1;0;0;1;21;11;0;0;0;0;0;4;0;1;0;0;0;0
805366;O. Takeuchi;M;Los Chankas CYC;47;0;0;0;0;0;0;0;21;9;0;0;0;1;1;2;0;0;0;0;0;0
972824;M. Torres;M;Deportivo Binacional;46;0;0;0;0;0;0;1;21;10;0;0;0;0;0;4;1;2;0;0;0;0
932927;J. Rios;M;Sport Boys;45;0;0;1;1;0;0;1;36;26;2;1;0;1;2;4;0;0;0;0;0;0
874072;B. Leon;D;Deportivo Binacional;45;0;0;0;0;0;0;0;19;8;3;0;1;3;1;1;0;0;0;0;0;0
994588;J. D. l. Cruz;F;Universidad Técnica de Cajamarca;43;0;0;0;2;0;0;1;20;9;0;1;0;1;1;1;0;0;0;0;0;0
975919;P. Liza;F;Melgar;43;0;0;1;0;0;0;0;21;8;1;0;0;1;2;2;0;0;0;0;0;0
846749;A. Lecaros;M;Comerciantes Unidos;43;0;1;1;0;0;1;1;22;13;0;0;0;1;1;2;0;1;0;0;0;0
1485386;M. Pérez;F;Alianza Atlético de Sullana;42;1;1;1;0;0;0;2;26;9;0;0;0;2;2;3;1;0;0;0;0;0
883393;K. Paico;M;Comerciantes Unidos;42;0;0;0;0;0;0;0;46;32;5;0;1;0;1;4;2;0;0;0;0;0
874981;J. Mendieta;D;Alianza Universidad;42;0;0;1;1;0;0;0;39;16;1;0;0;1;1;1;0;0;0;0;0;0
1090696;A. Guevara;M;ADC Juan Pablo II;41;0;0;0;1;1;0;2;46;27;2;0;1;0;1;6;3;1;0;0;0;0
936165;L. Mifflin;M;Los Chankas CYC;40;0;1;0;0;0;0;1;35;21;1;0;2;1;2;5;2;0;0;0;0;0
557108;N. Luján;M;Sport Huancayo;39;0;0;0;1;0;0;2;30;15;1;0;0;1;1;4;0;1;0;0;0;0
974006;P. Cárdenas;D;Cusco FC;36;0;0;0;2;0;0;1;25;14;0;0;0;1;1;2;0;1;0;0;0;0
1415941;A. Vasquez;M;Universidad Técnica de Cajamarca;35;0;0;0;0;0;0;1;18;7;1;1;0;1;1;2;0;0;0;0;0;0
1130035;J. Reyes;D;Club Atlético Grau;35;0;0;0;0;0;0;0;23;9;0;1;0;3;1;6;4;0;0;0;0;0
954811;S. Gonzales Zela;F;Comerciantes Unidos;35;0;0;0;0;0;0;0;10;4;1;0;0;0;0;1;1;0;0;0;0;0
882839;J. Murrugarra;M;Universitario;35;0;0;0;0;0;0;0;16;9;0;0;0;1;0;2;2;0;0;0;0;0
1512395;J. Soto;D;Asociación Deportiva Tarma;34;0;0;0;0;0;0;0;30;14;6;0;0;4;1;1;0;0;0;0;0;0
1173448;I. Camargo;F;Los Chankas CYC;34;0;0;0;1;0;0;0;14;6;0;1;0;0;1;3;0;2;0;0;0;0
886622;J. Verdún;F;Universidad Técnica de Cajamarca;34;0;0;0;0;0;0;0;14;2;0;0;0;0;1;2;0;0;0;0;0;0
883391;E. Mogollón;D;Los Chankas CYC;34;0;0;0;0;0;0;0;18;7;1;0;0;2;0;2;1;0;0;0;0;0
2031647;J. Tunqui;M;Los Chankas CYC;32;0;0;0;0;0;0;0;35;24;3;0;1;0;0;3;1;1;0;0;0;0
1107917;P. Guzman;D;Alianza Atlético de Sullana;32;0;0;0;0;0;0;0;10;1;0;0;1;1;0;3;2;0;0;0;0;0
1503648;A. Huaman;M;Sport Boys;31;0;0;0;0;0;0;1;20;8;0;0;0;0;0;3;1;0;0;0;0;0
169935;O. Noronha;F;Cienciano;30;0;0;0;0;1;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0
883343;A. Salazar;D;Deportivo Garcilaso;28;0;0;0;0;0;0;0;10;3;1;0;1;0;0;2;2;0;0;0;0;0
586956;L. Colitto;M;Cusco FC;27;0;0;1;1;1;0;1;19;12;0;0;0;0;0;0;0;0;0;0;0;0
960215;R. Palomino;M;Cienciano;26;0;0;0;0;0;0;0;13;8;0;0;0;0;0;1;1;0;0;0;0;0
931776;C. Neira;M;Cienciano;26;0;1;0;1;0;0;2;25;14;0;1;0;0;0;3;1;1;0;0;0;0
846751;M. Aucca;M;Cusco FC;26;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0
932870;A. Perez;D;Sport Huancayo;24;0;0;0;0;0;0;0;5;2;1;0;0;1;0;0;0;0;0;0;0;0
883293;L. Solís;M;Club Atlético Grau;22;0;0;0;0;1;0;0;15;10;1;0;1;0;0;2;2;0;0;0;0;0
46992;J. D. Lojas;D;Deportivo Garcilaso;22;0;0;0;0;0;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0
1411422;P. Magallanes;M;Sport Huancayo;21;0;0;0;1;0;0;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0
932933;R. Diaz;F;Alianza Atlético de Sullana;20;0;0;0;0;0;0;0;3;1;0;0;0;0;1;1;0;0;0;0;0;0
873707;M. Rios;M;Ayacucho;20;0;0;0;0;0;0;0;18;9;0;0;0;0;0;3;1;1;0;0;0;0
385418;J. Aguirre;D;Universidad Técnica de Cajamarca;20;0;0;0;0;0;0;1;16;11;0;1;1;0;0;0;0;0;0;0;0;0
1090708;F. Fernández;M;Los Chankas CYC;19;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;2;0;0;0;0
922007;J. Valoyes;D;Cienciano;19;0;0;0;1;0;0;0;28;15;5;0;0;0;2;3;0;0;0;0;0;0
932088;P. Vivanco;M;Melgar;17;0;0;0;0;0;0;1;9;4;0;0;0;0;0;0;0;0;0;0;0;0
960225;H. Ancajima;M;Universitario;16;0;0;0;2;0;0;0;12;4;2;0;0;1;0;1;1;0;0;0;0;0
924762;A. González;M;Cienciano;16;0;0;0;0;0;0;0;6;3;1;0;0;0;0;1;0;0;0;0;0;0
1015697;I. Garrafa;M;Deportivo Garcilaso;15;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
805068;E. Páucar;M;Deportivo Garcilaso;15;0;0;0;0;0;0;0;11;7;0;0;0;0;0;1;0;0;0;0;0;0
220931;J. Bazan;M;Deportivo Garcilaso;14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2025038;A. Espinoza;F;ADC Juan Pablo II;13;0;0;0;0;0;0;0;15;5;0;0;1;0;0;1;0;1;0;0;0;0
1477138;I. Wisdom;M;Club Sporting Cristal;13;0;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0
1108679;B. Portugal;F;Comerciantes Unidos;13;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0
1106569;J. Ataupillco;D;Ayacucho;12;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0
1845606;J. Alvino;M;Asociación Deportiva Tarma;11;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
1121487;C. Pimienta;D;Los Chankas CYC;10;0;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
1065267;A. Ascues;M;Cienciano;10;0;0;0;0;0;0;0;9;5;0;0;0;1;0;1;1;0;0;0;0;0
984127;L. Villar;M;Sport Huancayo;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1649452;G. García;M;Melgar;9;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
1017747;B. Ampuero;D;Alianza Universidad;9;0;0;0;0;0;0;0;9;4;0;0;0;0;1;3;2;0;0;0;0;0
980889;D. Caro;D;Ayacucho;9;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;1;0;0;0;0;0
923497;A. Magallanes;D;Deportivo Binacional;9;0;0;0;0;0;0;0;3;2;1;0;0;1;0;0;0;0;0;0;0;0
2031645;C. Rodríguez;M;Alianza Universidad;8;0;0;0;1;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0
1938924;N. Ramirez;M;Alianza Universidad;8;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0
1107919;X. Moreno;D;Deportivo Garcilaso;8;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0
1086994;G. Desio;M;Asociación Deportiva Tarma;6;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0
1017778;W. Guzmán;D;Comerciantes Unidos;6;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0
2044020;M. Cabanillas;D;Universidad Técnica de Cajamarca;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
1649868;J. F. Valer;F;Deportivo Garcilaso;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2045249;V. Flores;M;Sport Boys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2044309;J. Tuesta;M;Ayacucho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2044307;F. Palomino;G;Ayacucho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2044019;P. Núnez;M;Melgar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025040;F. Agurto;D;ADC Juan Pablo II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020027;S. Sánchez;M;Club Sporting Cristal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1916030;S. Alvarado;D;Sport Boys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1650229;A. Hidalgo;M;Asociación Deportiva Tarma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1627925;C. Saavedra;F;Comerciantes Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1521230;J. Martínez;M;Sport Huancayo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1503582;D. Mesones;M;Sport Huancayo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1502585;F. Lora;D;Club Sporting Cristal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1482438;B. Soyer;F;Alianza Lima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1477144;A. Pósito;D;Club Sporting Cristal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1466550;M. Barreda;F;Melgar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1466531;S. Villacorta;D;Deportivo Garcilaso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1466385;S. Gálvez;F;Cusco FC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1466374;E. Correa;M;Cusco FC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1464813;K. Sánchez;F;Los Chankas CYC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1464243;A. M. Custodio;D;Cusco FC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1391894;A. Reynoso;G;Club Atlético Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1201002;C. Gómez;D;Alianza Lima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1170889;A. Fuentes;G;Club Atlético Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1170640;C. Inga;M;Universitario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1159653;J. Cantt;M;Sport Boys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1148324;W. Díaz;G;Sport Huancayo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1139922;F. Romero;D;Universidad Técnica de Cajamarca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1116647;B. García;M;Club Atlético Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1086281;Y. Gamero;M;Melgar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1049086;G. Aliaga;M;ADC Juan Pablo II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1017748;A. Ccorahua;G;Sport Huancayo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1001260;J. Nolasco;G;Sport Boys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
975245;J. Cabezudo;G;Melgar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
973678;P. Diaz;G;Cusco FC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
960221;D. Montalvo;G;Deportivo Binacional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
957293;I. Quispe;G;ADC Juan Pablo II;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
936314;L. Garcia;G;Comerciantes Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
931788;G. Choi;D;Asociación Deportiva Tarma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
925309;C. Correa;M;Ayacucho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
925259;E. Figueroa;G;Alianza Universidad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
923490;P. Izaguirre;G;Ayacucho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
883774;H. Camacho;G;Los Chankas CYC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
882899;J. Marina;M;Comerciantes Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
876926;F. Duclos;D;Comerciantes Unidos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
875664;D. Campos;G;Universidad Técnica de Cajamarca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
874980;D. M. Gonzales;D;Los Chankas CYC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
873845;P. Ratto;M;Ayacucho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
846706;J. Barbieri;G;Deportivo Garcilaso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
805333;Á. Zamudio;G;Sport Huancayo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
805115;M. Vargas;G;Universitario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
805055;G. Dulanto;D;Universitario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
789965;J. Ortiz;D;Cienciano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
590180;D. Prieto;G;Alianza Atlético de Sullana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
560054;H. Riojas;D;Sport Boys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339481;A. Perleche;D;Alianza Universidad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
339155;A. Duarte;G;Club Sporting Cristal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162425;E. Hermoza;G;Asociación Deportiva Tarma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52068;J. Rojas;F;Asociación Deportiva Tarma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34005;R. Farro;G;Melgar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
